,Sentence1,Sentence2,Score
16,"Mel Gibson's passion-stirring Biblical epic ""The Passion of Christ"" will open in the United States on Feb. 25 - Ash Wednesday on the Roman Catholic calendar.","Mel Gibson is negotiating with Newmarket Films to distribute his embattled Biblical epic ""The Passion of Christ"" in the United States.",0.4
17,"Dunlap won both the swimsuit competition and the talent portion of the competition, singing ""If I Could.""","She won the talent portion singing ""If I Could"" and also won in evening wear.",0.5599999999999999
18,Governor Gray Davis estimated yesterday that the fires could cost nearly $2 billion.,State officials estimated the cost at nearly $2 billion.,0.7
19,The American Express Corp. has pledged at least $3 million of more than $5 million needed.,"The city had requested federal funds, but withdrew that request when American Express pledged at least $3 million.",0.64
20,"South Asia follows, with 1.1 millions youths infected — 62 percent of them female.","Of the 1.1 million infected in south Asia, 62% are female.",0.8
21,"An hour later, an Israeli helicopter fired missiles at a car in Gaza City, killing two Hamas officials and at least five other people.","An hour later Israeli attack helicopters rained missiles on a car in Gaza City, killing seven people, Palestinian sources said.",0.85
22,Executive recruiters say that finding a seasoned chief merchandising officer will perhaps be the trickiest of all hires because there is such a dearth of good ones.,Executive recruiters say that finding a seasoned chief merchandising officer perhaps will be the trickiest of all hires.,0.75
23,"AAA spokesman Jerry Cheske said prices may have affected some plans, but cheap hotel deals mitigated the effect.","AAA spokesman Jerry Cheske said prices might have affected some plans, but cheap hotel deals made up for it.",1.0
24,"The decades-long conflict has killed more than 10,000 people in the resource-rich province, most of them civilians.","More than 10,000 people, most of them civilians, have been killed in three decades of insurgency.",0.8
25,"Claudette, the first hurricane of the Atlantic storm season, hit the mid-Texas coast July 15 with 85-mph wind.","Claudette, the first hurricane of the Atlantic storm season, hit the mid-Texas coast July 15, classified as a Category 1 hurricane with maximum sustained winds of 85 mph.",0.8
26,"She countersued for $125 million, saying Gruner & Jahr broke its contract with her by cutting her out of key editorial decisions.","She countersued for $125 million, saying G+J broke its contract with her by cutting her out of key editorial decisions and manipulated the magazine's financial figures.",0.7
27,"The Standard Edition is $15,000 per processor or $300 per named user.",The Standard Edition One is a single processor version of the Oracle Standard Edition Database.,0.5
28,Results from No. 2 U.S. soft drink maker PepsiCo Inc. (nyse: PEP - news - people) were likely to be in the spotlight.,Wall Street was also waiting for aluminum maker Alcoa Inc. (nyse: PEP - news - people) to report earnings after the close.,0.4
29,Microsoft acquired Virtual PC when it bought the assets of Connectix earlier this year.,"Microsoft acquired Virtual PC from its developer, Connectix, earlier this year.",0.8800000000000001
30,"Taylor's aides warn an abrupt departure could trigger more chaos, a view shared by many in Liberia and, in private, even by mediators.","His aides warn an abrupt departure could trigger more bloodshed, a view shared by many in Liberia.",0.72
31,"But Odette is the first to form over the Caribbean Sea in December, the Center said.",It is the first named storm to develop in the Caribbean in December.,0.8400000000000001
32,"Leon Williams' body was found inside his third-floor apartment at 196 Bay St., in Tompkinsville.","The dead man, Leon Williams, was found in his third-floor apartment.",0.6799999999999999
33,It's the first such drill since the September 11 terrorist attacks on New York and Washington.,It is the nation's first large-scale counterterrorism exercise since the Sept. 11 terrorist attacks.,0.8
34,The AFL-CIO is waiting until October to decide if it will endorse a candidate.,The AFL-CIO announced Wednesday that it will decide in October whether to endorse a candidate before the primaries.,0.8
35,"Ursel Reisen confirmed it operated the coach, but gave no details other than to say the passengers were of mixed ages.","Ursel Reisen confirmed it had been operating the coach, but declined to give details of the passengers other than to say they were of mixed ages.",0.96
36,"A total of 17 cases have been confirmed in the southern city of Basra, the Organization said.",A total of 17 confirmed cases of cholera were reported yesterday by the World Health Organisation in the southern Iraqi city of Basra.,0.72
37,He was also expected to visit Yemen and Bahrain during his tour of the region.,"Khatami, who arrived in Beirut Monday, was also to visit Syria, Yemen and Bahrain.",0.6799999999999999
38,"General Myers told reporters that ""at first blush, it doesn't look like any rules were broken"".","At first blush, it doesn't look like any rules were broken, said Gen. Richard Myers, chairman of the Joint Chiefs of Staff.",0.72
39,"Proving that the Millville son's sacrifice would not go unsung, Mayor James Quinn ordered all city flags flown at half-mast for the next 30 days.","In Millville yesterday, Mayor James Quinn ordered all city flags flown at half-staff for the next 30 days.",0.6799999999999999
40,"Tom Kasmer, a 14-year-old from Belmont, N.C., got a word that sounded like ""zistee"" during yesterday's competition.","The 14-year-old national spelling finalist who attends school in Belmont, N.C., got a word that sounded like ""zistee"" during competition Wednesday.",0.75
41,"Tom Kraynak, manager of operations and resources for the Canton, Ohio-based East Central Area Reliability Council, said that scenario is one among many that investigators are considering.","Tom Kraynak, manager of operations and resources for the Canton, Ohio-based East Central Area Reliability Council, said investigators are considering the scenario.",0.85
42,They found molecules that can only be produced when ozone breaks down cholesterol.,And all of the samples contained molecules that can only be produced when cholesterol interacts with ozone.,0.85
43,"It was developed with consultation from more than 300 leaders in academia, industry, government and the public.","The plan, called The NIH Roadmap, was developed over 14 months with help from more than 300 consultants in industry and academia.",0.65
44,It can store more than a gigabyte of information equivalent to around 12 hours of music in one cubic centimetre.,"And it can store more than a gigabyte of information - equivalent to 1,000 high quality images or around 12 hours of music - in just one cubic centimetre.",0.7692
45,"Earlier this month, RIM had said it expected to report second-quarter earnings of between 7 cents and 11 cents a share.",Excluding legal fees and other charges it expected a loss of between 1 and 4 cents a share.,0.24
46,The budget analysis comes as negotiations between the City Council and the Bloomberg administration heat up.,Budget negotiations between the mayor and the City Council are entering high gear.,0.64
47,"Also at increased risk are those whose immune systems suppressed by medications or by diseases such as cancer, diabetes and AIDS.",Also at increased risk are those with suppressed immune systems due to illness or medicines.,0.8
48,Local police authorities are treating the explosion as a criminal matter and nothing has been ruled out.,Acting New Haven Police Chief Francisco Ortiz said police were treating the explosion as a criminal matter.,0.6799999999999999
49,"For me, the Lewinsky imbroglio seemed like just another vicious scandal manufactured by political opponents, according to extracts released yesterday.","For me, the Lewinsky imbroglio seemed like just another vicious scandal manufactured by political opponents, Mrs Clinton writes.",0.64
50,"In 2001 and 2002, wire transfers from 4 of the company's 40 accounts totaled more than $3.2 billion, prosecutors said.","Wire transfers from four of the 40 accounts open at Beacon Hill totaled more than $3.2 billion from 2001 to 2002, Morgenthau said.",0.76
51,"Stony Brook University launched the study in 1996, after earlier studies indicated a possible connection between electromagnetic fields and cancer.","The State University at Stony Brook launched the study in 1996, after earlier studies indicated a possible connection.",0.64
52,"Earlier, they had defied a police order and cried ""Allahu Akbar"" (God is Greatest) as Bashir walked to his seat in the tightly guarded courtroom.","Earlier, Bashir's supporters had defied a police order and cried ""Allahu Akbar (God is Greatest)"" as he walked to his seat.",0.8
53,Metropolitan Ambulance spokesman James Howe said five people were taken to hospital and three were treated at the scene after yesterday's incident.,"Spokesman James Howe said five children aged between 4 and 17 were taken to hospital with neck and chest injuries, while three others were treated at the scene.",0.6666000000000001
54,Chiron already has nearly 20 percent acceptances from PowderJect's shareholders.,Chiron has acceptances from holders of nearly 20 percent of PowderJect shares.,0.7333999999999999
55,But it is clear that the Joint Intelligence Committee was not involved.,This report was cleared by the Joint Intelligence Committee.,0.4
56,"About 22% of twentysomethings are obese, which is roughly 30 pounds over a healthy weight.",About 31 percent of Americans are now obese — roughly 30 or more pounds over a healthy weight.,0.52
57,"Coupling, an American version of a hit British comedy, will get the valuable Thursday 9:30 p.m. time slot.","Coupling, an American version of a hit British comedy, will couple with Friends on Thursdays.",0.6
58,Shares of Coke closed New York Stock Exchange trading Thursday at $44.01.,"In morning trading on the New York Stock Exchange, Coca-Cola shares were down 34 cents at $43.67.",0.48
59,Her body was found several weeks later in the Green River.,"Aug. 15, 1982: Remains of Chapman, Hinds and Mills are found in the Green River.",0.52
60,"I feel that people that are sending these messages are infringing on my rights and everyone else's rights to use their computers, said McKechnie.","The people who are sending these messages are infringing on my rights and everyone else's rights to use your computer,"" McKechnie said.",0.8800000000000001
61,"Fighting continued until midnight, western rebel commander Ousmane Coulibaly told Reuters by satellite phone on Sunday.","They ransacked and burned the two villages completely, rebel commander Ousmane Coulibaly told Reuters by satellite phone from the bush.",0.5599999999999999
62,The reading for both August and July is the best seen since the survey began in August 1997.,It is the highest reading since the index was created in August 1997.,0.6
63,"Generally unwanted - and often pornographic or with fraudulent intent - spam is a nuisance and a distraction, Gates writes, warming us up for the punchline.","Generally unwanted—and often pornographic or with fraudulent intent —spam is a nuisance and a distraction,"" Gates writes.",0.8400000000000001
64,"US Special Forces troops are training Colombian soldiers at military bases in the region to protect the pipeline, which transports crude from Colombia's second-biggest oil field.",U.S. Special Forces troops are training Colombian soldiers at military bases in the region to protect the pipeline.,0.64
65,The retailer said it came to the decision after hearing the opinions of customers and associates.,"The decision came after ""listening to our customers and associates,"" Melissa Berryhill, a spokeswoman for Wal-Mart, said.",0.64
66,"Lord Falconer hailed the changes as ""a new beginning as far as the courts, Crown Prosecution Service and police are concerned"".","It's a new beginning as far as the courts, Crown Prosecution Service and police are concerned, making the criminal justice system work better.",0.6
67,"We need a certifiable pay as you go budget by mid-July or schools wont open in September, Strayhorn said.","Texas lawmakers must close a $185.9 million budget gap by the middle of July or the schools wont open in September, Comptroller Carole Keeton Strayhorn said Thursday.",0.52
68,Shares of Hartford rose $2.88 to $46.50 in New York Stock Exchange composite trading.,"Shares of Hartford were up $2.28, or 5.2 percent, to $45.90 in midday trading.",0.5
69,The DVD-CCA then appealed to the state Supreme Court.,The DVD CCA appealed that decision to the U.S. Supreme Court.,0.9
70,"We believe we are fully prepared to roll out the [touch-screen] machines for the 2004 presidential primary, said Gilles W. Burger, State Board of Elections chairman.","We believe we are fully prepared to roll out the revised Diebold machines, said Gilles W. Burger, chairman of the Maryland State Board of Elections.",0.75
71,Country-music station KKCS has suspended two disc jockeys for playing songs by the Dixie Chicks in violation of a ban imposed after one group member criticized President George Bush.,"A radio station has suspended two disc jockeys for locking themselves in the studio and continuously playing Dixie Chicks songs, violating the station's two-month-old ban on the group's music.",0.65
72,"The technology-laced Nasdaq Composite Index <.IXIC> jumped 26 points, or 1.78 percent, to 1,516.","The broad Standard & Poor's 500 Index .SPX was up 8.79 points, or 0.96 percent, at 929.06.",0.16
73,Business Week's online edition reported on Friday that WorldCom and the SEC could announce a settlement as early as Monday.,"BusinessWeek Online has learned that the settlement could come as early as Monday, May 19.",0.64
74,"Sovereign's shares lost 74 cents, or 4.5%, to $15.68.","Sovereign shares closed on the New York Stock Exchange at $15.68, down 74 cents, or 4.5 percent.",0.8
75,"Aspen Technology's shares dropped 74 cents, or 23 percent, to close at $2.48 on the Nasdaq.","In afternoon trading, Aspen's shares were off 89 cents or more than 27 percent at $2.33 per share.",0.44000000000000006
76,The new law requires libraries and schools to use filters or lose federal financing.,The 6-3 ruling reinstates a law that told libraries to install filters or surrender federal money.,0.5599999999999999
77,"In addition, it offered the United States and Israel a way to work around Mr. Arafat.","When the prime minister's position was established in the spring, it offered the United States and Israel a way to work around Arafat.",0.72
78,"And yes, Marilyn Monroe is definitely part of the story, titled ""Arthur Miller, Elia Kazan and the Blacklist: None Without Sin.""","Note the subheading of this terrible parable in the ""American Masters"" series, ""Arthur Miller, Elia Kazan and the Blacklist: None Without Sin.""",0.52
79,"Gilroy police and FBI agents described Gehring as cooperative, but said Saturday that he had revealed nothing about what had happened to the children.","Saturday, officials in California described Gehring as cooperative — but said he has revealed nothing about what has happened to the children.",0.76
80,"Scribner's body was found floating in the city's Portage Bay, where he lived with his wife in a houseboat.","A kayaker found Dr. Scribner's body floating near the doctor's houseboat in Portage Bay, where he was eating lunch when his wife, Ethel, left for an appointment.",0.64
81,"After protesters rushed the stage and twice cut power to the microphone, Hedges drew the speech to an early close.","After protesters rushed the stage and twice cut power to the microphone, Hedges cut his speech short.",1.0
82,"A passer-by found Ben hiding along a dirt road in Spanish Fork Canyon about 7 p.m., with his hands still taped together but his feet free.","A passer-by found the boy hiding along a dirt road in Spanish Fork Canyon about 7 p.m. Thursday, with his feet free but his hands still taped.",0.8
83,"Analysts expected earnings of 27 cents a share on revenue of $17.7 billion, Thomson First Call says.","Hewlett-Packard is putting in for a second-quarter profit of $659 million, or 29 cents a share, on revenue of $18 billion.",0.24
84,"Doctors say one or both boys may die, and that some brain damage is possible if they survive.","Doctors said that one or both of the boys may die and that if they survive, some brain damage is possible.",1.0
85,Another was in serious condition at Northwest Medical Center in Springdale.,"At Northwest Medical Center of Washington County in Springdale, one child is in serious condition.",0.76
86,"I started crying and yelling at him, 'What do you mean, what are you saying, why did you lie to me?'","Gulping for air, I started crying and yelling at him, 'What do you mean?",0.76
87,"Sean Harrigan, president of the California Public Employees' Retirement System, also suggested paring down the NYSE's 27-member board, changing its composition and making it more accountable.","Sean Harrigan, president of the California Public Employees' Retirement System, also suggested paring the NYSE's 27-member board and allotting more seats to investors outside the securities industry.",0.6799999999999999
88,"Also missing is Al Larsen, 31, of Fort Worth, Texas, who was in another vehicle swept off the turnpike.","The other victim recovered Tuesday morning was Al Larsen, 31, of Fort Worth, Texas.",0.44000000000000006
89,British-based GlaxoSmithKline Plc said earlier this year it would cut off supplies to Canadian drugstores that ship to the United States.,"GlaxoSmithKline, the UK drugmaker, has said it would cut off supplies to Canadian stores shipping drugs to the US.",0.8400000000000001
90,The festival kicked off yesterday one day after the Competition Commission delivered its final verdict to the Government on the proposed £4.1 billion merger.,"The Competition Commission delivered its verdict yesterday on the proposed merger of the two big ITV players, Carlton and Granada.",0.5636
91,The Swedish central bank was also meeting on Wednesday and widely expected to announce a cut on Thursday.,"The Swedish central bank, also meeting on Wednesday, is widely expected to announce a cut on Thursday of as much as half a percentage point.",0.64
92,It was the third time in four years that wildfires forced the park to close.,"For the third time in four years wildfires closed Mesa Verde National Park, the country’s only park dedicated to ancient ruins.",0.6
93,"GM, the world's largest automaker, has 115,000 active UAW workers and another 340,000 retirees and spouses.","They cover more than 300,000 UAW workers and 500,000 retirees and spouses.",0.48
94,"His 1996 Chevrolet Tahoe was found abandoned in a Virginia Beach, Va., parking lot June 25.","His sport utility vehicle was found June 25, abandoned without its license plates in Virginia Beach, Va.",0.72
95,She said he persisted and she eventually allowed him to fix her bike while she sat in the front seat of his car.,"She said she eventually allowed him to fix her bike while she sat in his car, and they chatted.",0.775
96,Heatley was sixth in the league in goals last season with 41 and ninth in points with 89.,Heatley led Atlanta in scoring last season with a team-record 41 goals and 48 assists.,0.6
97,"Daniels said he doesn't know what Bush will have to say about him at tonight's $2,000-per-person presidential fund-raiser.","Daniels said he doesn't know what Bush will say at tonight's $2,000-per-person reception to raise funds for his presidential re-election bid.",0.8800000000000001
98,"A three-judge panel of the 11th U.S. Circuit Court of Appeals ruled late Friday that the small size, limited use and secular purpose make the image legitimate.",A three-judge panel of the 8th U.S. Circuit Court of Appeals in St. Louis overturned a ruling issued last year that supported the ordinance.,0.5599999999999999
99,"Tony's not feeling well, Spurs coach Gregg Popovich said.","We're thrilled to be up 3-2,'' Coach Gregg Popovich said Wednesday.",0.32
100,Electronic Data Systems Corp. Thursday said the Securities and Exchange Commission has asked the company for documents related to its large contract with the U.S. Navy.,"In a regulatory filing, EDS said the SEC had asked for information related to its troubled IT outsourcing contract with the US Navy.",0.64
101,The company claims it's the largest single Apple VAR Xserve sale to date.,The company claimed it is the largest sale of Xserves by an Apple retailer.,1.0
102,Only 29 families of frogs are known and most were identified and described in the mid-1800s and the last in 1926.,"Only 29 families of frogs are known, most of which were named by the mid-1800s.",0.76
103,"Officials at Brandeis said this was an ""extremely heartrending"" time for the campus.",This is an extremely heartrending time for the entire Brandeis University community.,0.8800000000000001
104,North American markets finished mixed in directionless trading Monday as earnings season begins to slow and economic indicators move into the spotlight.,"North American markets grabbed early gains Monday morning, as earnings season begins to slow and economic indicators take the spotlight.",0.76
105,"As well as the dolphin scheme, the chaos has allowed foreign companies to engage in damaging logging and fishing operations without proper monitoring or export controls.",Internal chaos has allowed foreign companies to set up damaging commercial logging and fishing operations without proper monitoring or export controls.,0.76
106,"The value will total about $124 million, including convertible securities, according to Corel.","Including convertible securities, the total estimated value of the deal is $124 million, according to Corel.",1.0
107,"The Standard & Poor's 500 stock index ended the quarter up 120 points, a gain of 14 percent, the best performance for that broad market benchmark since 1998.","The Standard and Poor's 500-stock index, a broad collection of equities representing leading companies, finished its best quarter yesterday since the last three months of 1998.",0.64
108,The next court session will be when the three-judge tribunal announces its verdict in mid-February.,The court's three-judge tribunal was expected to give its verdict next February.,0.8400000000000001
109,"He started in the 1983 Super Bowl, which Miami lost 27-17 to Washington.","He played four seasons in Miami, including the Dolphins' 27-17 loss to Washington in the Super Bowl.",0.6
110,The consensus among Wall Street analysts was for a loss of 28 cents a share.,Analysts surveyed by First Call were expecting sales of $723 million and a loss of 28 cents a share.,0.6
111,"I know of no pressure, said Mr. Feith, the under secretary of defense for policy.","I know of nobody who pressured anybody, Douglas Feith, undersecretary of defense for policy, said at a Pentagon briefing.",0.76
112,Nterprise Linux Services is expected to be available before then end of this year.,Beta versions of Nterprise Linux Services are expected to be available on certain HP ProLiant servers in July.,0.5334
113,"Excluding one-time items, the company enjoyed a profit of 6 cents a share.","Excluding one-time items, it expects profit of 11 cents to 15 cents a share.",0.4666
114,But I do question the motives of a deskbound president who assumes the garb of a warrior for the purposes of a speech.,"Byrd, speaking from the Senate floor, said he questioned ""the motives of a deskbound president who assumes the garb of a warrior for purposes of a speech.""",0.6
115,"The broader Standard & Poor's 500 Index .SPX fell 3 points, or 0.30 percent, to 995.","The technology-laced Nasdaq Composite Index <.IXIC> added 1.92 points, or 0.12 percent, at 1,647.94.",0.26660000000000006
116,"Instead, tickets for the Jersey jam went on sale last night through Ticketmaster.","Tickets, available through Ticketmaster, went on sale yesterday.",0.76
117,"Earlier on Monday, Grant Thornton SpA repeated previous statements that it was ""a victim of fraudulent action"".",Grant Thornton claims that it too was the “victim” of a fraud.,0.6799999999999999
118,Peter Lyman and Hal Varian of Berkeley's School of Information Management and Systems say that information production has increased by 30 percent each year between 1999 and 2002.,"That task appealed to two masters of the megabyte, Peter Lyman and Hal Varian, professors at the University of California-Berkeley's School of Information Management and Systems.",0.4
119,"My judgment is 95 percent of that information should be declassified, become uncensored, so the American people would know.","My judgment is 95 percent of that information could be declassified, become uncensored so the American people would know,"" Mr. Shelby said on NBC's ""Meet the Press.""",0.6799999999999999
120,The researchers found only empty cavities and scar tissue where the tumors had been.,"No tumors were detected; rather, empty cavities and scar tissue were found in their place.",0.8
121,"Washington, however, said more was needed to prevent complaints being filed in the first place.","But the US insisted it wanted more done to prevent complaints being filed in the first place, preferably by repealing the entire law.",0.5599999999999999
122,"After 26 hours of surgery and a year of anticipation, the boys were separated Sunday at Children's Medical Center of Dallas.","Two-year-old Egyptian twin boys, born with their heads conjoined, have been separated after 26 hours of surgery at the Children's Medical Centre in Dallas.",0.64
123,Pines said he would convene the relevant party bodies within 10 days to discuss whether new elections would be held or whether a temporary leader would be appointed.,Mitzna and party secretary Ophir Pines agreed to convene party organizations within 10 days to discuss whether new primaries would be held or a temporary leader appointed.,0.72
124,"'She was crying and scared,' said Isa Yasin, the owner of the store.","'She was crying and she was really scared',said Yasin.",0.76
125,"The euro soared to US$1.1914 in Asian trading, before slipping back slightly to US$1.1895 as trading opened in Europe.","The euro soared to $1.1914 in Asian trading, before slipping back to $1.1884 in late European trading, up from $1.1857 late Monday.",0.72
126,"Abbas told the summit he would end the ""armed intefadeh,"" renounced ""terrorism against the Israelis wherever they might be"" and alluded to the disarming of militants.","At Wednesday's summit, Abbas pledged to end the ""armed intefadeh,"" renounced ""terrorism against the Israelis wherever they might be"" and alluded to the disarming of militants.",0.8400000000000001
127,"The civilian unemployment rate improved marginally last month -- slipping to 6.1 percent -- even as companies slashed payrolls by 93,000.","The civilian unemployment rate improved marginally last month _ sliding down to 6.1 percent _ as companies slashed payrolls by 93,000 amid continuing mixed signals about the nation's economic health.",0.8
128,Moffitt said the results need to be replicated in another study before testing of individuals for presence of the long or short versions of the gene will be pursued.,Professor Moffitt said the results needed to be replicated before pursuing testing of individuals for the presence of the long or short versions of the gene.,0.95
129,"Frank Quattrone is innocent, Keker said in a statement.",Quattrone lawyer John W. Keker said his client is innocent.,0.75
130,"Cmdr. Rod Gibbons, an academy spokesman, said, ""The academy is shocked and saddened.",Naval Academy spokesman Cmdr. Rod Gibbons said: ``Today's announcement came as a surprise.,0.65
131,The compensation committee will prohibit securities industry directors from sitting on it.,The exchange also said its five-person compensation committee will consist only of directors from outside the securities industry.,0.7066
132,"Shares of LendingTree rose $6.21, or 42 percent, to $20.90 after hitting $21.36 earlier.","LendingTree shares rose 43 percent, or $6.31, to $21, more than doubling in the last two months.",0.55
133,"Last week, his lawyers asked Warner to grant clemency under conditions that would have lead to a new sentencing hearing.","Last week, his lawyers asked Gov. Mark R. Warner to grant clemency, but the governor declined to intervene.",0.5
134,Q: Can I buy coverage for prescription drugs right away?,Congress has added a new benefit - an option to buy insurance coverage for prescription drugs.,0.25
135,"I think it should have been released years ago, said Brian Rohrbough, whose son, Daniel, was killed at Columbine.","Brian Rohrbough, whose son, Daniel, was killed at Columbine, said the tape raises disturbing issues.",0.35
136,"CIA Director George Tenet said the two men were ""defined by dedication and courage.""","[They] were defined by dedication and courage, said the CIA's director George Tenet.",0.85
137,"Shares of Mandalay closed down eight cents to $29.42, before the earnings were announced.",Shares of Mandalay closed down 8 cents at $29.42 Thursday.,0.8
138,"But software license revenues, a measure financial analysts watch closely, decreased 21 percent to $107.6 million.","License sales, a key measure of demand, fell 21 percent to $107.6 million.",1.0
139,"Dotson, 21, was arrested and charged on July 21 after reportedly telling authorities he shot Dennehy after Dennehy tried to shoot him.","Dotson was arrested July 21 after telling FBI agents he shot Dennehy when Dennehy tried to shoot him, according to the arrest warrant affidavit.",0.85
140,Prosecutors contended that Mr. Durst had plotted the murder to assume Mr. Black's identity.,Prosecutors maintained that Durst murdered Black to try to assume Black's identity.,0.95
141,That objection was cited by PeopleSoft's board in rejecting Oracle's offer.,PeopleSoft's board has recommended stockholders reject the offer.,0.55
142,Several black Democratic leaders were attempting to arrange a meeting with DNC chairman Terry McAuliffe to discuss the layoffs.,Black Democratic leaders were trying to arrange a meeting with Democratic National Committee Chairman Terry McAuliffe to discuss the layoffs of 10 minority staffers at party headquarters.,0.65
143,"These are dark days for our industry, Giovanni Bisignani, director general of the Geneva-based organization, said in a statement.","These are dark days for our industry, the Geneva-based International Air Transport Association's Director-General Giovanni Bisignani said.",0.7
144,"The seven other nations in the initiative are Britain, Germany, Italy, the Netherlands, Poland, Portugal and Spain.","Other nations involved in the PSI include Germany, Italy, the Netherlands, Poland, Portugal, Spain and Britain.",0.72
145,"The dollar was at 116.92 yen against the yen , flat on the session, and at 1.2891 against the Swiss franc , also flat.","The dollar was at 116.78 yen JPY= , virtually flat on the session, and at 1.2871 against the Swiss franc CHF= , down 0.1 percent.",0.64
146,Germans account for more than 40 percent of foreign visitors coming to Italy.,Germans represent more than a quarter of all foreign visitors to Italy and 40 percent of hotel bookings.,0.6799999999999999
147,"Also in Mosul, rebel gunmen on Friday assassinated a Sunni Muslim tribal leader who backed the coalition.","Near a mosque in the northern town of Mosul, rebel gunmen also assassinated a Sunni Muslim tribal leader who backed the coalition.",0.9199999999999999
148,"The average American makes four trips a day, 45 percent for shopping or errands.",Nearly half - 45 percent - are for shopping or running errands.,0.6666000000000001
149,"Mr. Bush had sought to store his papers in his father's presidential library, where they would have stayed secret for a half-century.","In Texas, public watchdog groups opposed Mr. Bush's efforts to house his papers at his father's presidential library, where they would have remained secret for a half-century.",0.6666000000000001
150,"In 1999, the building's owners, the Port Authority of New York and New Jersey, issued guidelines to upgrade the fireproofing to a thickness of 1{ inches.",The NIST discovered that in 1999 the Port Authority issued guidelines to upgrade the fireproofing to a thickness of 1 1/2 inches.,0.6
151,"It's also a strategic win for Overture, given that Knight Ridder had the option of signing on Google's services.","It's also a strategic win for Overture, given that Knight Ridder had been using Google's advertising services.",0.8
152,"In the weeks leading up to the execution, several Florida officials received anonymous threatening letters.","Several Florida officials connected to the case have received threatening letters, accompanied by rifle bullets.",0.7
153,"This integrates with Rational PurifyPlus and allows developers to work in supported versions of Java, Visual C# and Visual Basic .NET.","IBM said the Rational products were also integrated with Rational PurifyPlus, which allows developers to work in Java, Visual C# and VisualBasic .Net.",0.7
154,"Freeman's civil hearing may be, on the surface, about a driver's license.",Freeman said not having a driver license has been a burden.,0.35
155,Protesters had been calling for an end to the country's hard-line establishment and for supreme leader Khamenei's death.,"The protesters denounced the country's supreme leader, hard-liner Ayatollah Ali Khamenei.",0.6
156,Hoy confirmed the woman's age Tuesday and said she has left on vacation with her family.,"Hoy confirmed the woman's age Tuesday and said she was on vacation with her family, but is expected to return this week.",0.6799999999999999
157,"BOSTON The Catholic archdiocese in Boston has offered $55 million to settle more than 500 clergy sex abuse lawsuits, according to a document obtained by The Associated Press.",The American Roman Catholic archdiocese of Boston has offered $55 million to settle more than 500 sex abuse lawsuits involving priests.,0.72
158,"The 3{ hours of recordings include conversations between police, firefighters and other emergency workers, as well as media inquiries.","Among them are conversations between police, firefighters and other emergency workers, as well as media inquiries.",0.72
